post_id,url,author_name,author_handle,published_at,text,impressions,likes,replies,reposts,bookmarks,spark_lab_visible_match,spark_lab_body_match,source_tabs,metric_label
2086387511807586317,https://x.com/damonchen/status/2086387511807586317,Damon Chen,@damonchen,2026-08-09T09:42:00.000Z,"Meeting long-time internet friends is amazing

We all went from unemployed, to making crappy products, to landing the first paying customer, to iterating products to make them better

Now we're making our life better

This time I met 
@marclou
 
与长期在互联网上结识的朋友见面真是太棒了。

我们都经历过从失业状态，到制造质量低劣的产品，再到获得第一个付费客户的过程。之后，我们不断对产品进行改进，努力提升其质量。

现在，我们正在让生活变得更美好。

这次我遇到了 @marclou 和  。",192234,694,77,16,61,False,False,"Latest,Top","77 replies, 16 reposts, 694 likes, Liked, 61 bookmarks, 192234 views"
2086315104472383847,https://x.com/marclou/status/2086315104472383847,Marc Lou,@marclou,2026-08-09T04:54:17.000Z," MEETUP UPDATE — PLEASE READ

Unfortunately, we have to cancel today’s meetup.

Because of the typhoon and heavy rain, the venue is now partially flooded, with water getting inside. For everyone’s safety, we strongly recommend not coming to the meetup today.

However, I know
  活动更新——请务必阅读

很遗憾，我们不得不取消今天的聚会。

由于台风和暴雨的影响，活动现场已经部分被水淹没。为了大家的安全着想，我们强烈建议今天不要来参加这次聚会了。

不过，我知道。",173516,635,95,24,67,False,False,"Latest,Top","95 replies, 24 reposts, 635 likes, Liked, 67 bookmarks, 173516 views"
2086653787478102487,https://x.com/damonchen/status/2086653787478102487,Damon Chen,@damonchen,2026-08-10T03:20:05.000Z,"At yesterday's meetup I asked Marc why he's never shipped an AI wrapper 

His two most profitable products have almost nothing to do with AI. Everyone else is chasing the AI hype. He just doesn't.

His answer had two parts.

1. he builds things he wants to use himself every
在昨天的聚会上，我问马克，为什么他从未发布过任何与 AI 相关的工具或软件。

他最赚钱的两种产品其实与人工智能毫无关系。其他人都都在追逐人工智能的热潮，而他则不然。

他的回答分为两部分。

1. 他只打造自己真正想使用的东西。",163556,329,43,21,110,False,False,"Latest,Top","43 replies, 21 reposts, 329 likes, 110 bookmarks, 163556 views"
2086700255949865456,https://x.com/marclou/status/2086700255949865456,Marc Lou,@marclou,2026-08-10T06:24:44.000Z,"I only build 2 types of startups now:

1) AI-proof in 10 years. My startup marketplace (TrustMRR) can be cloned with a prompt, but a network of 20K buyers can’t. Trust compounds over time.

2) Trends. Anything hot on tech Twitter this month. GEO, new AI models, it can be
我现在只创办两种类型的初创企业：

1) 10 年后，AI 将无法复制这一模式。我的创业平台 TrustMRR 虽然可以通过简单的指令被复制出来，但拥有 2 万用户的庞大用户网络却无法被复制。信任是随着时间逐渐积累起来的。

2) 趋势。本月科技领域在推特上最受关注的那些话题。与地理位置相关的内容、新的 AI 模型等等。",149536,1599,132,92,1270,False,False,Latest,"132 replies, 92 reposts, 1599 likes, 1270 bookmarks, 149536 views"
2086396907153445174,https://x.com/marclou/status/2086396907153445174,Marc Lou,@marclou,2026-08-09T10:19:20.000Z,"I met my indie hacker hero today 

In 2022 he grew 
http://
testimonial.to to $500k ARR and documented everything on Twitter.

I was so inspired I decided to follow his footpath and that’s partially how I ended up here today! 

He shortened his family trip to come to the
今天我遇到了我心目中的“独立黑客英雄”  

2022 年，他的业务实现了 100%的增长，年度收入达到了 50 万美元。他把所有相关情况都记录在了推特上。

我深受启发，决定追随他的脚步前进。某种程度上，也就是因为如此，我才能来到这里！

他缩短了家庭旅行时间，赶了过来。",138046,1195,89,27,362,False,False,"Latest,Top","89 replies, 27 reposts, 1195 likes, Liked, 362 bookmarks, 138046 views"
2086418004783546696,https://x.com/marclou/status/2086418004783546696,Marc Lou,@marclou,2026-08-09T11:43:10.000Z,"Despite the typhoon and a last-minute cancellation, almost 100 people joined the meetup!

Thank you, everyone 
尽管有台风的影响，再加上最后一刻的取消通知，仍有近 100 人参加了这次聚会！

谢谢大家  ",46733,498,60,22,23,False,False,"Latest,Top","60 replies, 22 reposts, 498 likes, Liked, 23 bookmarks, 46733 views"
2086283076615987446,https://x.com/marclou/status/2086283076615987446,Marc Lou,@marclou,2026-08-09T02:47:01.000Z,"Quick update for today’s meetup:

It’s 100% happening!

Because of the typhoon and heavy rain, the venue won’t be able to open the rooftop and garden as planned, so we’ll have less space than expected.

We have 350+ people registered, and while we don’t expect everyone to show
关于今天聚会的最新消息：

这肯定会发生！/这件事百分之百会实现！

由于台风和暴雨的影响，场地无法按原计划开放屋顶和花园区域。因此，我们的可用空间会比预期的要少。

我们有 350 多人注册了，不过我们不指望所有人都会来。",30905,178,40,8,10,False,False,"Latest,Top","40 replies, 8 reposts, 178 likes, 10 bookmarks, 30905 views"
2086508841815154846,https://x.com/AYi_AInotes/status/2086508841815154846,AYi,@AYi_AInotes,2026-08-09T17:44:08.000Z,"这就是build in public真正的复利效应吧，从做烂产品到让生活变好，中间最关键的变量，我理解就是坚持把自己的思考和实践的真实过程公开，并愿意为真实的人连接付出行动。

左边是
@damonchen",18616,120,44,19,88,False,False,"Latest,Top","44 replies, 19 reposts, 120 likes, 88 bookmarks, 18616 views"
2086320643042431030,https://x.com/marclou/status/2086320643042431030,Marc Lou,@marclou,2026-08-09T05:16:17.000Z,"If you’re still coming, be careful of manhole and electrical hazards
如果你仍然打算继续前进，请小心地井盖以及潜在的电气危险。",9973,36,3,2,0,False,False,Top,"3 replies, 2 reposts, 36 likes, Liked, 9973 views"
2086416165145063788,https://x.com/GoSailGlobal/status/2086416165145063788,Jason Zhu,@GoSailGlobal,2026-08-09T11:35:52.000Z,"I meet two indie hacker hero today

it's someone record it，you can learn a lot from them


https://
shareaudio.iflyrec.com/appShare/share
.html?audioId=SAT555197ebb6304566bfef282c7e4e0d9d
…
今天我遇到了两位独立的“黑客英雄”。

这是别人录下来的内容，你可以从中学到很多东西。

 
https://
shareaudio.iflyrec.com/appShare/share
.html?audioId=SAT555197ebb6304566bfef282c7e4e0d9d
… ",7559,36,12,0,7,False,False,"Latest,Top","12 replies, 36 likes, Liked, 7 bookmarks, 7559 views"
